Summary,Issue key,Issue id,Issue Type,Status,,Project name,Project type,Project lead id,Project description,Priority,Assignee,Reporter,Creator,Created,Completed ,Due date,Watchers
API verification of Non-Filer in Dashboard backend,KAN-100,11026,Story,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,jitendrap38,CTD,CTD,13-07-2026 14:21,21-07-2026 18:21,15-07-2026 00:00,CTD
UI <> Feedback portal Understanding,KAN-80,10814,Story,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,vkush68,vkush68,vkush68,21-07-2026 18:27,21-07-2026 18:28,,vkush68
UI for Target vs Achived,KAN-82,10816,Story,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,vkush68,vkush68,vkush68,21-07-2026 18:29,21-07-2026 18:30,,vkush68
UI <> Feedback Portal | Admin Persona  | to attach excel file with specific type selection,KAN-98,10960,Task,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,21-07-2026 14:19,21-07-2026 18:47,,CTD
UI <> Tafrget vs Achieved | UI Screen to upload the taget vs achieved excel on moth basis and showing the previously uploaded list for Admin and Officer both,KAN-112,11166,Task,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,ashishgauttamab,ashishgauttamab,ashishgauttamab,22-07-2026 11:30,22-07-2026 11:44,,ashishgauttamab
UI <> Feeback Portal & DSS V2 | UI design with mock data and DSS V2 filter updation,KAN-104,11094,Task,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,ashishgauttamab,ashishgauttamab,ashishgauttamab,22-07-2026 11:32,22-07-2026 11:45,,ashishgauttamab
API <> Target Vs Achieved | Admin API - Excel to be uploaded from admin as per current month,KAN-111,11165,Task,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,ashishgauttamab,ashishgauttamab,ashishgauttamab,22-07-2026 11:32,22-07-2026 11:45,,ashishgauttamab
UI <> Settle ledger task |  First level UI represending with mock data,KAN-51,10497,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,ashishgauttamab,ashishgauttamab,ashishgauttamab,22-07-2026 11:34,22-07-2026 11:45,,ashishgauttamab
UI <> Feedback Portal | Feedback Portal for Admin showing previous uploaded lists along with new list updation,KAN-102,11060,Task,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,ashishgauttamab,ashishgauttamab,ashishgauttamab,22-07-2026 11:34,22-07-2026 11:45,,ashishgauttamab
UI <> Settle ledger task |  First level UI represending with Real API,KAN-52,10498,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,ashishgauttamab,ashishgauttamab,ashishgauttamab,22-07-2026 11:34,22-07-2026 11:45,,ashishgauttamab
"UI <> Analytics Decision Hub | Addition of Filters (Months, Nature & Constitution of Business ) and Addition of 3 KPIs",KAN-99,10993,Task,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,ashishgauttamab,ashishgauttamab,ashishgauttamab,22-07-2026 11:34,22-07-2026 11:45,,ashishgauttamab
UI <> Registration Manual Download | Uploading excel and then getting the list of the uploaded excel with mocked data | Have the action button to compute the data | and dwonloading the file again,KAN-61,10571,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,ashishgauttamab,ashishgauttamab,ashishgauttamab,22-07-2026 11:35,22-07-2026 11:45,,ashishgauttamab
UI <> API Integration on Registration Manual Download Page | 4 APIs,KAN-69,10707,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,ashishgauttamab,ashishgauttamab,ashishgauttamab,22-07-2026 11:35,22-07-2026 11:45,,ashishgauttamab
UI <> Settlement Ledger | API Integration for 3rd level - Data Population in the table with dynamic columns along with pagination,KAN-85,10819,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,21-07-2026 14:18,22-07-2026 15:43,,CTD
UI <> Anlaytics Decision Hub | API Integration for statistics data,KAN-84,10818,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,21-07-2026 15:11,23-07-2026 14:38,,CTD
"UI <> Master Service for getting Zones, Circles and Wards",KAN-66,10672,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,21-07-2026 14:19,23-07-2026 14:40,,CTD
UI <> Decision Support System | Analytics Decision Hub | with filters and dynamic table with mocked data . Along with  export CSV.,KAN-55,10501,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,23-07-2026 14:41,23-07-2026 14:59,24-07-2026 00:00,CTD
UI <> Dynamic Environment Configuration based on different Java Utilities,KAN-65,10671,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,23-07-2026 14:40,23-07-2026 17:48,24-07-2026 00:00,CTD
"Get data in the ""gst_api_registration"" schema on getting alerts data. (JITU JI)",KAN-49,10463,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,jitendrap38,CTD,CTD,23-07-2026 17:54,23-07-2026 17:54,24-07-2026 00:00,CTD
Procedure for getting NON-FILER Data (JITU JI),KAN-57,10503,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,13-07-2026 14:22,24-07-2026 17:45,15-07-2026 00:00,CTD
UI <> Settle Ledger | Third Level UI with mocked Data,KAN-54,10500,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,24-07-2026 18:14,24-07-2026 18:14,,CTD
GSTIN <. Knumber get data of 200 GSTINs' from discom API's,KAN-78,10780,Story,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,vkush68,vkush68,vkush68,24-07-2026 12:18,24-07-2026 18:14,,vkush68
API <> Settle ledger task |  First level API  (time & state code) from dB,KAN-53,10499,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,vkush68,vkush68,vkush68,28-07-2026 10:48,28-07-2026 10:48,,vkush68
FE | Addition of toggle to switch between mock data vs real API call,KAN-50,10496,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,vkush68,vkush68,vkush68,24-07-2026 11:02,28-07-2026 10:49,,vkush68
Table 1,KAN-46,10396,Subtask,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,28-07-2026 17:55,28-07-2026 17:56,,CTD
table 2,KAN-47,10397,Subtask,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,13-07-2026 14:20,28-07-2026 17:57,13-07-2026 00:00,CTD
Payment ETL as discuss with Jitu JI,KAN-74,10744,Story,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,13-07-2026 14:25,28-07-2026 17:57,15-07-2026 00:00,CTD
Design dB Schema for Static DSS query maker.,KAN-75,10777,Story,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,vkush68,vkush68,vkush68,28-07-2026 18:16,28-07-2026 18:16,,vkush68
Backend API's for Feedback Portal,KAN-81,10815,Story,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,21-07-2026 10:47,30-07-2026 16:28,24-07-2026 00:00,CTD
Backend API's for Target vs Achieved,KAN-83,10817,Story,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,30-07-2026 16:29,30-07-2026 16:29,,CTD
Prepared the API requirements Excel sheet for Mining Data.,KAN-86,10852,Task,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,30-07-2026 16:29,30-07-2026 16:29,,CTD
Scraped GSTIN data using Satyendra Ji's scraping tool.,KAN-87,10853,Business Development,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,30-07-2026 16:29,30-07-2026 16:29,,CTD
API <> Third-Party API Utility | Created an API to fetch GSTIN data from DISCOM APIs.,KAN-88,10854,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,24-07-2026 18:15,30-07-2026 16:30,,CTD
API <> DSS V2 | Created a Ward List JSON API for zone-wise data.,KAN-89,10855,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,30-07-2026 16:30,30-07-2026 16:30,,CTD
API <> Settle Ledger Task | Modified the First-Level API.,KAN-90,10856,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,30-07-2026 16:38,30-07-2026 16:38,,CTD
API <> Settle Ledger Task | Modified ythe Third-Level API.,KAN-91,10857,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,jitendrap38,CTD,CTD,30-07-2026 16:39,30-07-2026 16:39,,CTD
API <> DSS V2 | Developed a Filter List API to display filters on the DSS page.,KAN-92,10858,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,vkush68,vkush68,vkush68,03-08-2026 11:42,03-08-2026 11:42,,vkush68
API <> DSS V2 | Developed a Statistics API based on the provided filters.,KAN-93,10859,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,vkush68,CTD,CTD,21-07-2026 18:05,07-08-2026 17:01,,CTD
API <> DSS V2 | Created a paginated GSTIN data API based on the provided filters.,KAN-94,10860,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,vkush68,CTD,CTD,21-07-2026 18:06,07-08-2026 17:01,,CTD
"Get Application requests- cancellation submit, api call to get callellation reason for CBT",KAN-97,10927,Story,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,vkush68,vkush68,vkush68,03-08-2026 11:43,07-08-2026 17:01,,vkush68
CRN List api in ETL service,KAN-105,11127,Story,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,12-08-2026 00:30,12-08-2026 00:30,,CTD
"CRN details data api, in ETL service",KAN-106,11128,Story,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,12-08-2026 00:30,12-08-2026 00:30,,CTD
"Download gst9c Document api,from .net to Java",KAN-109,11131,Story,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,12-08-2026 00:30,12-08-2026 00:30,,CTD
"Sector summary data, to eb preprated, and provide readymade functions",KAN-110,11132,Story,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,12-08-2026 00:31,12-08-2026 00:31,,CTD
UI <> P-L Analysis | GSTIN list population in tabular format from mocked data and showing the related PDF in the popup,KAN-117,11235,Task,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,vkush68,vkush68,vkush68,12-08-2026 13:32,12-08-2026 13:32,,vkush68
"UI <> My Profile | Updation of UI in the detail page of the selected GSTIN, to show the cards based on the selected tabs",KAN-118,11236,Task,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,vkush68,vkush68,vkush68,12-08-2026 13:33,12-08-2026 13:33,,vkush68
UI <> DSS V2 | Added cancellation date filters in the filter options to fetch the data based on selected dates.,KAN-119,11237,Task,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,vkush68,vkush68,vkush68,12-08-2026 13:34,12-08-2026 13:34,,vkush68
